"","year","age","sex","maritl","race","education","region","jobclass","health","health_ins","wage"
"51",2005,57," Male"," Married"," White"," Advanced Degree"," Middle Atlantic"," Information"," >=Very Good"," No",200.543262324662
"52",2008,71," Male"," Married"," White"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",101.82435207568
"53",2004,43," Male"," Married"," White"," College Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",272.294783220064
"54",2003,23," Male"," Never Married"," White"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," No",35.0334213214995
"55",2009,30," Male"," Never Married"," White"," Advanced Degree"," Middle Atlantic"," Information"," >=Very Good"," Yes",114.475713290347
"56",2004,22," Male"," Never Married"," Black"," HS Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",81.2832532842527
"57",2006,59," Male"," Married"," White"," Advanced Degree"," Middle Atlantic"," Information"," <=Good"," Yes",200.543262324662
"58",2003,28," Male"," Never Married"," Asian"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",148.413159102577
"59",2004,61," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",99.6894636984864
"60",2003,34," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",111.720849360989
"61",2005,43," Male"," Married"," White"," College Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",152.838800991182
"62",2006,54," Male"," Married"," White"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," No",117.146816914805
"63",2005,69," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," <=Good"," Yes",77.7376033039781
"64",2004,41," Male"," Married"," White"," Some College"," Middle Atlantic"," Industrial"," <=Good"," Yes",87.9810327856054
"65",2003,48," Male"," Married"," White"," Advanced Degree"," Middle Atlantic"," Information"," >=Very Good"," Yes",125.525498433836
"66",2003,49," Male"," Married"," White"," Some College"," Middle Atlantic"," Information"," >=Very Good"," Yes",123.336103962059
"67",2009,42," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",158.294621427791
"68",2003,37," Male"," Married"," White"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",200.543262324662
"69",2004,55," Male"," Married"," Asian"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",99.6894636984864
"70",2008,21," Male"," Never Married"," Black"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," No",70.4760196469445
"71",2004,58," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",94.0727147457005
"72",2006,31," Male"," Never Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," No",81.2832532842527
"73",2006,25," Male"," Never Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",81.2832532842527
"74",2006,32," Male"," Never Married"," White"," Some College"," Middle Atlantic"," Information"," >=Very Good"," Yes",100.764272842107
"75",2009,40," Male"," Never Married"," Black"," < HS Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",94.0727147457005
"76",2003,44," Male"," Married"," White"," Advanced Degree"," Middle Atlantic"," Information"," >=Very Good"," No",99.6894636984864
"77",2003,60," Male"," Married"," White"," College Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",268.266292012557
"78",2006,23," Male"," Never Married"," White"," < HS Grad"," Middle Atlantic"," Industrial"," <=Good"," Yes",81.2832532842527
"79",2003,63," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Information"," >=Very Good"," No",113.567089569751
"80",2008,44," Male"," Never Married"," White"," < HS Grad"," Middle Atlantic"," Industrial"," <=Good"," No",87.9810327856054
"81",2005,47," Male"," Married"," Asian"," Advanced Degree"," Middle Atlantic"," Information"," <=Good"," Yes",128.680488220624
"82",2004,61," Male"," Married"," White"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",106.723977625299
"83",2009,55," Male"," Married"," White"," Advanced Degree"," Middle Atlantic"," Information"," >=Very Good"," No",66.0446942318056
"84",2003,24," Male"," Never Married"," White"," < HS Grad"," Middle Atlantic"," Industrial"," <=Good"," No",51.521956314716
"85",2007,42," Male"," Widowed"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",85.3839403789827
"86",2006,25," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",76.8936025176112
"87",2004,34," Male"," Divorced"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," No",90.4819133566401
"88",2009,53," Male"," Married"," White"," < HS Grad"," Middle Atlantic"," Information"," >=Very Good"," No",68.0764282889521
"89",2009,53," Male"," Married"," White"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",130.982177377461
"90",2009,70," Male"," Married"," Asian"," Advanced Degree"," Middle Atlantic"," Information"," <=Good"," No",127.901232979118
"91",2004,47," Male"," Married"," White"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",131.224593755096
"92",2003,46," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",99.6894636984864
"93",2003,33," Male"," Divorced"," White"," < HS Grad"," Middle Atlantic"," Industrial"," <=Good"," Yes",76.8936025176112
"94",2005,34," Male"," Married"," White"," Advanced Degree"," Middle Atlantic"," Information"," >=Very Good"," Yes",107.903923866876
"95",2006,22," Male"," Never Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," <=Good"," No",81.2832532842527
"96",2009,74," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",99.6894636984864
"97",2003,40," Male"," Married"," Black"," Some College"," Middle Atlantic"," Information"," <=Good"," Yes",98.5993438603892
"98",2006,45," Male"," Married"," White"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",200.543262324662
"99",2009,43," Male"," Married"," Asian"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",156.503510882633
"100",2005,33," Male"," Married"," Asian"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",144.944364980516
"101",2009,62," Male"," Married"," Black"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",118.884359339886
"102",2008,37," Male"," Married"," White"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",121.430313822622
"103",2004,54," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Information"," <=Good"," Yes",111.720849360989
"104",2005,34," Male"," Married"," White"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," No",68.7480877337669
"105",2008,50," Male"," Never Married"," White"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",114.475713290347
"106",2006,46," Male"," Divorced"," White"," Some College"," Middle Atlantic"," Industrial"," <=Good"," Yes",95.2307125669819
"107",2007,41," Male"," Married"," White"," < HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," No",87.9810327856054
"108",2003,63," Male"," Divorced"," Black"," Some College"," Middle Atlantic"," Industrial"," <=Good"," Yes",64.2743972206327
"109",2007,38," Male"," Married"," White"," Some College"," Middle Atlantic"," Industrial"," <=Good"," Yes",128.680488220624
"110",2006,35," Male"," Married"," White"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",114.475713290347
"111",2009,29," Male"," Married"," White"," College Grad"," Middle Atlantic"," Information"," <=Good"," Yes",112.6488963421
"112",2008,66," Male"," Married"," White"," < HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",81.2832532842527
"113",2004,37," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Information"," <=Good"," Yes",75.8954848228103
"114",2006,39," Male"," Married"," Black"," HS Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",112.136922992214
"115",2003,42," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," No",85.3839403789827
"116",2007,51," Male"," Divorced"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",94.0727147457005
"117",2009,55," Male"," Married"," Asian"," Advanced Degree"," Middle Atlantic"," Industrial"," <=Good"," Yes",114.475713290347
"118",2006,51," Male"," Married"," White"," Advanced Degree"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",176.989650489877
"119",2008,38," Male"," Married"," White"," Advanced Degree"," Middle Atlantic"," Industrial"," <=Good"," Yes",276.778413321176
"120",2005,49," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",101.82435207568
"121",2006,42," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Information"," >=Very Good"," No",91.6992261117042
"122",2009,43," Male"," Separated"," White"," < HS Grad"," Middle Atlantic"," Information"," <=Good"," No",86.6951548289402
"123",2006,38," Male"," Married"," White"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",162.946460744664
"124",2008,59," Male"," Married"," Asian"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",139.213788138664
"125",2009,57," Male"," Married"," White"," Some College"," Middle Atlantic"," Industrial"," <=Good"," Yes",95.2307125669819
"126",2005,25," Male"," Never Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," <=Good"," No",66.9616443217359
"127",2004,49," Male"," Married"," White"," College Grad"," Middle Atlantic"," Industrial"," <=Good"," Yes",131.194323611687
"128",2004,41," Male"," Married"," White"," < HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",90.4819133566401
"129",2009,38," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",114.475713290347
"130",2003,61," Male"," Married"," White"," Advanced Degree"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",79.1280844956297
"131",2007,49," Male"," Divorced"," White"," HS Grad"," Middle Atlantic"," Industrial"," <=Good"," Yes",104.591737924918
"132",2008,52," Male"," Divorced"," White"," Advanced Degree"," Middle Atlantic"," Information"," >=Very Good"," Yes",132.487821126123
"133",2007,43," Male"," Married"," White"," Advanced Degree"," Middle Atlantic"," Information"," >=Very Good"," Yes",141.77517233318
"134",2008,60," Male"," Married"," White"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",123.089699847943
"135",2005,46," Male"," Married"," Asian"," Advanced Degree"," Middle Atlantic"," Information"," >=Very Good"," Yes",134.705375118879
"136",2004,21," Male"," Never Married"," White"," HS Grad"," Middle Atlantic"," Information"," >=Very Good"," No",55.7673905084923
"137",2009,61," Male"," Married"," White"," College Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",106.921814091211
"138",2007,32," Male"," Married"," Black"," Advanced Degree"," Middle Atlantic"," Information"," >=Very Good"," Yes",118.884359339886
"139",2004,58," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Information"," <=Good"," Yes",87.9810327856054
"140",2003,35," Male"," Never Married"," White"," HS Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",88.9296066367913
"141",2004,26," Male"," Never Married"," Black"," HS Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",81.2832532842527
"142",2006,32," Male"," Never Married"," Black"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," No",94.0727147457005
"143",2003,37," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",106.921814091211
"144",2007,22," Male"," Never Married"," Asian"," HS Grad"," Middle Atlantic"," Industrial"," <=Good"," No",59.0970640815891
"145",2005,51," Male"," Never Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," <=Good"," No",65.1108537153447
"146",2004,44," Male"," Divorced"," White"," Advanced Degree"," Middle Atlantic"," Information"," <=Good"," Yes",120.589436530402
"147",2005,35," Male"," Married"," Asian"," Advanced Degree"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",157.700527725737
"148",2004,60," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",129.453644576625
"149",2007,40," Male"," Married"," White"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",176.989650489877
"150",2004,35," Male"," Never Married"," White"," < HS Grad"," Middle Atlantic"," Information"," >=Very Good"," No",59.0970640815891
"151",2007,35," Male"," Married"," White"," Advanced Degree"," Middle Atlantic"," Information"," >=Very Good"," No",94.0727147457005
"152",2008,47," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",134.705375118879
"153",2003,43," Male"," Never Married"," White"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",81.2832532842527
"154",2003,33," Male"," Married"," White"," < HS Grad"," Middle Atlantic"," Industrial"," <=Good"," Yes",81.2832532842527
"155",2003,60," Male"," Divorced"," White"," Advanced Degree"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",153.457515308961
"156",2008,38," Male"," Married"," Asian"," Advanced Degree"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",136.876367635184
"157",2005,53," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Information"," >=Very Good"," No",75.0431540173515
"158",2004,55," Male"," Married"," White"," Some College"," Middle Atlantic"," Information"," >=Very Good"," Yes",130.220832358777
"159",2003,57," Male"," Married"," Black"," HS Grad"," Middle Atlantic"," Information"," <=Good"," No",104.921506533664
"160",2005,64," Male"," Married"," White"," College Grad"," Middle Atlantic"," Information"," <=Good"," No",49.5553381215226
"161",2007,43," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," <=Good"," Yes",123.908567597957
"162",2008,35," Male"," Married"," Black"," Some College"," Middle Atlantic"," Information"," >=Very Good"," Yes",123.089699847943
"163",2008,54," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Information"," >=Very Good"," No",78.155161407934
"164",2007,45," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Information"," <=Good"," Yes",73.7757432746946
"165",2003,58," Male"," Divorced"," Asian"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",138.299126920883
"166",2007,48," Male"," Married"," White"," College Grad"," Middle Atlantic"," Information"," <=Good"," No",127.115743812184
"167",2003,46," Male"," Married"," Asian"," < HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",68.7480877337669
"168",2004,46," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",84.39111474778
"169",2009,55," Male"," Married"," White"," < HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",85.3839403789827
"170",2006,51," Male"," Married"," White"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",128.680488220624
"171",2005,49," Male"," Married"," White"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",70.4760196469445
"172",2008,34," Male"," Never Married"," White"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",76.8936025176112
"173",2007,53," Male"," Married"," White"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," No",148.413159102577
"174",2004,40," Male"," Married"," White"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",148.413159102577
"175",2009,50," Male"," Married"," White"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",175.960883130401
"176",2006,37," Male"," Divorced"," White"," < HS Grad"," Middle Atlantic"," Information"," <=Good"," Yes",98.5993438603892
"177",2003,39," Male"," Married"," White"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",145.143601176911
"178",2004,52," Male"," Married"," White"," College Grad"," Middle Atlantic"," Industrial"," <=Good"," Yes",99.6894636984864
"179",2003,50," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",141.08887439127
"180",2006,48," Male"," Married"," White"," College Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",123.089699847943
"181",2006,47," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",129.453644576625
"182",2005,27," Male"," Married"," White"," College Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",111.720849360989
"183",2006,39," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",103.90247060316
"184",2009,44," Male"," Married"," Black"," HS Grad"," Middle Atlantic"," Information"," <=Good"," Yes",118.884359339886
"185",2003,37," Male"," Married"," Black"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",151.591484239814
"186",2006,52," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," <=Good"," No",101.82435207568
"187",2004,26," Male"," Never Married"," Asian"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",99.6894636984864
"188",2008,39," Male"," Married"," Asian"," Advanced Degree"," Middle Atlantic"," Industrial"," <=Good"," Yes",99.6894636984864
"189",2006,25," Male"," Married"," Black"," HS Grad"," Middle Atlantic"," Industrial"," <=Good"," No",99.6894636984864
"190",2005,31," Male"," Never Married"," White"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," No",94.0727147457005
"191",2004,58," Male"," Married"," White"," Some College"," Middle Atlantic"," Industrial"," <=Good"," Yes",152.216806827106
"192",2005,30," Male"," Married"," White"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",104.921506533664
"193",2004,27," Male"," Married"," White"," < HS Grad"," Middle Atlantic"," Industrial"," <=Good"," Yes",65.1108537153447
"194",2003,40," Male"," Divorced"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",95.2307125669819
"195",2006,55," Male"," Married"," White"," Advanced Degree"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",173.879493310012
"196",2009,35," Male"," Married"," Asian"," Advanced Degree"," Middle Atlantic"," Information"," >=Very Good"," Yes",193.411070530969
"197",2008,48," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," <=Good"," No",114.475713290347
"198",2006,29," Male"," Never Married"," Asian"," College Grad"," Middle Atlantic"," Industrial"," <=Good"," Yes",160.642475408263
"199",2005,25," Male"," Never Married"," White"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",89.4924795180001
"200",2004,40," Male"," Married"," White"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",120.589436530402
"201",2006,27," Male"," Married"," White"," < HS Grad"," Middle Atlantic"," Information"," <=Good"," No",73.7757432746946
"202",2006,44," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",127.115743812184
"203",2006,49," Male"," Married"," White"," Some College"," Middle Atlantic"," Information"," >=Very Good"," Yes",118.884359339886
"204",2003,22," Male"," Never Married"," White"," Some College"," Middle Atlantic"," Industrial"," <=Good"," No",34.6074177301288
"205",2007,45," Male"," Married"," White"," Some College"," Middle Atlantic"," Industrial"," <=Good"," Yes",114.475713290347
"206",2007,33," Male"," Married"," White"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," No",85.3839403789827
"207",2007,63," Male"," Married"," Black"," Advanced Degree"," Middle Atlantic"," Information"," >=Very Good"," Yes",318.342430056529
"208",2006,49," Male"," Never Married"," Black"," College Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",141.77517233318
"209",2005,39," Male"," Never Married"," White"," Advanced Degree"," Middle Atlantic"," Information"," >=Very Good"," Yes",130.982177377461
"210",2007,25," Male"," Never Married"," Other"," < HS Grad"," Middle Atlantic"," Industrial"," <=Good"," No",73.7757432746946
"211",2005,29," Male"," Never Married"," White"," Advanced Degree"," Middle Atlantic"," Information"," >=Very Good"," Yes",130.982177377461
"212",2006,37," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",75.0431540173515
"213",2008,35," Male"," Married"," White"," Advanced Degree"," Middle Atlantic"," Information"," <=Good"," Yes",154.990260276812
"214",2009,46," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," <=Good"," Yes",104.921506533664
"215",2008,58," Male"," Married"," White"," College Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",73.118306923864
"216",2003,39," Male"," Married"," White"," Advanced Degree"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",123.089699847943
"217",2008,41," Male"," Married"," White"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",157.700527725737
"218",2008,29," Male"," Married"," Black"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",81.2832532842527
"219",2009,37," Male"," Married"," White"," College Grad"," Middle Atlantic"," Information"," <=Good"," Yes",107.256062128429
"220",2009,62," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Information"," <=Good"," No",78.9816745162994
"221",2008,27," Male"," Never Married"," Black"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",73.7757432746946
"222",2003,37," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," <=Good"," Yes",94.0727147457005
"223",2006,56," Male"," Separated"," Asian"," College Grad"," Middle Atlantic"," Information"," <=Good"," No",99.6894636984864
"224",2004,36," Male"," Married"," White"," Some College"," Middle Atlantic"," Information"," >=Very Good"," Yes",176.989650489877
"225",2005,23," Male"," Never Married"," Other"," HS Grad"," Middle Atlantic"," Information"," >=Very Good"," No",73.7757432746946
"226",2003,46," Male"," Married"," White"," Some College"," Middle Atlantic"," Information"," >=Very Good"," Yes",99.6894636984864
"227",2009,26," Male"," Never Married"," White"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," No",94.0727147457005
"228",2006,43," Male"," Married"," White"," < HS Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",95.2307125669819
"229",2007,36," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",127.115743812184
"230",2003,54," Male"," Separated"," White"," Some College"," Middle Atlantic"," Information"," <=Good"," Yes",99.6894636984864
"231",2003,62," Male"," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",95.6888119067371
